from_node,to_node,distance_km
godown_Nizamabad,shop_1811030,6.5
godown_Nizamabad,shop_1811031,7.532
godown_Nizamabad,shop_1811033,11.487
godown_Nizamabad,shop_1813001,18.056
godown_Nizamabad,shop_1813002,16.368
godown_Nizamabad,shop_1813003,15.494
godown_Nizamabad,shop_1813004,9.456
godown_Nizamabad,shop_1813005,9.454
godown_Nizamabad,shop_1813006,13.26
godown_Nizamabad,shop_1813007,13.182
godown_Nizamabad,shop_1813008,12.745
godown_Nizamabad,shop_1813009,13.519
godown_Nizamabad,shop_1813010,11.71
godown_Nizamabad,shop_1813011,7.561
godown_Nizamabad,shop_1813012,11.736
